cam,date,missing
T,2018-03-13,0.0
TOPI,2018-03-13,0.0
TOTM,2018-03-13,0.0
WHWI,2018-03-13,0.0
WINR,2018-03-13,2.0
WIWR,2018-03-13,0.0
CVTP,2018-03-14,0.0
CVWF,2018-03-14,0.0
MTSR,2018-03-14,0.0
N,2018-03-14,1.0
P,2018-03-14,0.0
R,2018-03-14,0.0
RIMM,2018-03-14,0.0
T,2018-03-14,0.0
TOPI,2018-03-14,0.0
TOTM,2018-03-14,0.0
WHWI,2018-03-14,0.0
WINR,2018-03-14,6.0
WIWR,2018-03-14,0.0
CVTP,2018-03-15,1.0
CVWF,2018-03-15,0.0
MTSR,2018-03-15,1.0
N,2018-03-15,7.0
P,2018-03-15,0.0
R,2018-03-15,0.0
RIMM,2018-03-15,0.0
T,2018-03-15,0.0
TOPI,2018-03-15,0.0
TOTM,2018-03-15,1.0
WHWI,2018-03-15,0.0
WINR,2018-03-15,1.0
WIWR,2018-03-15,0.0
CVTP,2018-03-16,0.0
CVWF,2018-03-16,0.0
MTSR,2018-03-16,0.0
N,2018-03-16,3.0
P,2018-03-16,0.0
R,2018-03-16,0.0
RIMM,2018-03-16,0.0
T,2018-03-16,0.0
TOPI,2018-03-16,0.0
TOTM,2018-03-16,0.0
WHWI,2018-03-16,0.0
WINR,2018-03-16,1.0
WIWR,2018-03-16,0.0
CVTP,2018-03-17,1.0
CVWF,2018-03-17,1.0
MTSR,2018-03-17,0.0
N,2018-03-17,2.0
P,2018-03-17,0.0
R,2018-03-17,1.0
RIMM,2018-03-17,51.0
T,2018-03-17,0.0
TOPI,2018-03-17,0.0
TOTM,2018-03-17,1.0
WHWI,2018-03-17,0.0
WINR,2018-03-17,1.0
WIWR,2018-03-17,1.0
CVTP,2018-03-18,1.0
CVWF,2018-03-18,0.0
MTSR,2018-03-18,1.0
N,2018-03-18,3.0
P,2018-03-18,0.0
R,2018-03-18,0.0
RIMM,2018-03-18,12.0
T,2018-03-18,0.0
TOPI,2018-03-18,0.0
TOTM,2018-03-18,0.0
WHWI,2018-03-18,0.0
WINR,2018-03-18,1.0
WIWR,2018-03-18,0.0
CVTP,2018-03-19,0.0
CVWF,2018-03-19,0.0
MTSR,2018-03-19,0.0
N,2018-03-19,5.0
P,2018-03-19,0.0
R,2018-03-19,0.0
RIMM,2018-03-19,21.0
T,2018-03-19,1.0
TOPI,2018-03-19,0.0
TOTM,2018-03-19,0.0
WHWI,2018-03-19,0.0
WINR,2018-03-19,1.0
WIWR,2018-03-19,0.0
CVTP,2018-03-20,0.0
CVWF,2018-03-20,0.0
MTSR,2018-03-20,0.0
N,2018-03-20,4.0
P,2018-03-20,0.0
R,2018-03-20,0.0
RIMM,2018-03-20,8.0
T,2018-03-20,0.0
TOPI,2018-03-20,0.0
TOTM,2018-03-20,0.0
WHWI,2018-03-20,0.0
WINR,2018-03-20,1.0
WIWR,2018-03-20,0.0
CVTP,2018-03-21,1.0
CVWF,2018-03-21,0.0
MTSR,2018-03-21,0.0
N,2018-03-21,3.0
P,2018-03-21,0.0
R,2018-03-21,0.0
RIMM,2018-03-21,16.0
T,2018-03-21,0.0
TOPI,2018-03-21,0.0
TOTM,2018-03-21,0.0
WHWI,2018-03-21,0.0
WINR,2018-03-21,1.0
WIWR,2018-03-21,0.0
CVTP,2018-03-22,0.0
CVWF,2018-03-22,1.0
MTSR,2018-03-22,0.0
N,2018-03-22,6.0
P,2018-03-22,0.0
R,2018-03-22,0.0
RIMM,2018-03-22,0.0
T,2018-03-22,0.0
TOPI,2018-03-22,0.0
TOTM,2018-03-22,0.0
WHWI,2018-03-22,0.0
WINR,2018-03-22,1.0
WIWR,2018-03-22,0.0
CVTP,2018-03-23,0.0
CVWF,2018-03-23,0.0
MTSR,2018-03-23,0.0
N,2018-03-23,1.0
P,2018-03-23,0.0
R,2018-03-23,0.0
RIMM,2018-03-23,0.0
T,2018-03-23,0.0
TOPI,2018-03-23,0.0
TOTM,2018-03-23,0.0
WHWI,2018-03-23,0.0
WINR,2018-03-23,2.0
WIWR,2018-03-23,0.0
CVTP,2018-03-24,0.0
CVWF,2018-03-24,0.0
MTSR,2018-03-24,0.0
N,2018-03-24,4.0
P,2018-03-24,0.0
R,2018-03-24,0.0
RIMM,2018-03-24,0.0
T,2018-03-24,0.0
TOPI,2018-03-24,0.0
TOTM,2018-03-24,0.0
WHWI,2018-03-24,0.0
WINR,2018-03-24,1.0
WIWR,2018-03-24,0.0
CVTP,2018-03-25,0.0
CVWF,2018-03-25,2.0
MTSR,2018-03-25,0.0
N,2018-03-25,1.0
P,2018-03-25,0.0
R,2018-03-25,0.0
RIMM,2018-03-25,3.0
T,2018-03-25,0.0
TOPI,2018-03-25,0.0
TOTM,2018-03-25,0.0
WHWI,2018-03-25,0.0
WINR,2018-03-25,0.0
WIWR,2018-03-25,0.0
CVTP,2018-03-26,0.0
CVWF,2018-03-26,2.0
MTSR,2018-03-26,0.0
N,2018-03-26,10.0
P,2018-03-26,0.0
R,2018-03-26,0.0
RIMM,2018-03-26,10.0
T,2018-03-26,0.0
TOPI,2018-03-26,0.0
TOTM,2018-03-26,0.0
WHWI,2018-03-26,0.0
WINR,2018-03-26,0.0
WIWR,2018-03-26,0.0
CVTP,2018-03-27,0.0
CVWF,2018-03-27,0.0
MTSR,2018-03-27,0.0
N,2018-03-27,7.0
P,2018-03-27,0.0
R,2018-03-27,0.0
RIMM,2018-03-27,5.0
T,2018-03-27,0.0
TOPI,2018-03-27,0.0
TOTM,2018-03-27,0.0
WHWI,2018-03-27,0.0
WINR,2018-03-27,0.0
WIWR,2018-03-27,0.0
CVTP,2018-03-28,0.0
CVWF,2018-03-28,0.0
MTSR,2018-03-28,0.0
N,2018-03-28,4.0
P,2018-03-28,0.0
R,2018-03-28,0.0
RIMM,2018-03-28,2.0
T,2018-03-28,0.0
TOPI,2018-03-28,2.0
TOTM,2018-03-28,0.0
WHWI,2018-03-28,0.0
WINR,2018-03-28,1.0
WIWR,2018-03-28,0.0
CVTP,2018-03-29,0.0
CVWF,2018-03-29,0.0
MTSR,2018-03-29,0.0
N,2018-03-29,16.0
P,2018-03-29,0.0
R,2018-03-29,0.0
RIMM,2018-03-29,14.0
T,2018-03-29,0.0
TOPI,2018-03-29,0.0
TOTM,2018-03-29,0.0
WHWI,2018-03-29,0.0
WINR,2018-03-29,2.0
WIWR,2018-03-29,0.0
CVTP,2018-03-30,0.0
CVWF,2018-03-30,0.0
MTSR,2018-03-30,0.0
N,2018-03-30,9.0
P,2018-03-30,0.0
R,2018-03-30,0.0
RIMM,2018-03-30,5.0
T,2018-03-30,0.0
TOPI,2018-03-30,0.0
TOTM,2018-03-30,0.0
WHWI,2018-03-30,0.0
WINR,2018-03-30,1.0
WIWR,2018-03-30,0.0
CVTP,2018-03-31,0.0
CVWF,2018-03-31,2.0
MTSR,2018-03-31,0.0
N,2018-03-31,1.0
P,2018-03-31,0.0
R,2018-03-31,0.0
RIMM,2018-03-31,1.0
T,2018-03-31,0.0
TOPI,2018-03-31,0.0
TOTM,2018-03-31,0.0
WHWI,2018-03-31,0.0
WINR,2018-03-31,0.0
WIWR,2018-03-31,0.0
CVTP,2018-04-01,0.0
CVWF,2018-04-01,1.0
MTSR,2018-04-01,0.0
N,2018-04-01,3.0
P,2018-04-01,0.0
R,2018-04-01,0.0
RIMM,2018-04-01,1.0
T,2018-04-01,0.0
TOPI,2018-04-01,0.0
TOTM,2018-04-01,0.0
WHWI,2018-04-01,0.0
WINR,2018-04-01,0.0
WIWR,2018-04-01,0.0
CVTP,2018-04-02,0.0
CVWF,2018-04-02,0.0
MTSR,2018-04-02,0.0
N,2018-04-02,2.0
P,2018-04-02,0.0
R,2018-04-02,0.0
RIMM,2018-04-02,1.0
T,2018-04-02,0.0
TOPI,2018-04-02,0.0
TOTM,2018-04-02,0.0
WHWI,2018-04-02,0.0
WINR,2018-04-02,0.0
WIWR,2018-04-02,0.0
CVTP,2018-04-03,1.0
CVWF,2018-04-03,0.0
MTSR,2018-04-03,1.0
N,2018-04-03,1.0
P,2018-04-03,1.0
R,2018-04-03,0.0
RIMM,2018-04-03,1.0
T,2018-04-03,0.0
TOPI,2018-04-03,0.0
TOTM,2018-04-03,0.0
WHWI,2018-04-03,0.0
WINR,2018-04-03,0.0
WIWR,2018-04-03,0.0
CVTP,2018-04-04,0.0
CVWF,2018-04-04,2.0
MTSR,2018-04-04,0.0
N,2018-04-04,2.0
P,2018-04-04,0.0
R,2018-04-04,0.0
RIMM,2018-04-04,2.0
T,2018-04-04,0.0
TOPI,2018-04-04,0.0
TOTM,2018-04-04,0.0
WHWI,2018-04-04,0.0
WINR,2018-04-04,0.0
WIWR,2018-04-04,0.0
CVTP,2018-04-05,0.0
CVWF,2018-04-05,0.0
MTSR,2018-04-05,0.0
N,2018-04-05,5.0
P,2018-04-05,0.0
R,2018-04-05,0.0
RIMM,2018-04-05,5.0
T,2018-04-05,0.0
TOPI,2018-04-05,0.0
TOTM,2018-04-05,0.0
WHWI,2018-04-05,0.0
WINR,2018-04-05,1.0
WIWR,2018-04-05,0.0
CVTP,2018-04-06,0.0
CVWF,2018-04-06,2.0
MTSR,2018-04-06,0.0
N,2018-04-06,8.0
P,2018-04-06,0.0
R,2018-04-06,0.0
RIMM,2018-04-06,1.0
T,2018-04-06,0.0
TOPI,2018-04-06,0.0
TOTM,2018-04-06,0.0
WHWI,2018-04-06,0.0
WINR,2018-04-06,2.0
WIWR,2018-04-06,0.0
CVTP,2018-04-07,0.0
CVWF,2018-04-07,0.0
MTSR,2018-04-07,0.0
N,2018-04-07,37.0
P,2018-04-07,0.0
R,2018-04-07,0.0
RIMM,2018-04-07,0.0
T,2018-04-07,0.0
TOPI,2018-04-07,0.0
TOTM,2018-04-07,0.0
WHWI,2018-04-07,0.0
WINR,2018-04-07,1.0
WIWR,2018-04-07,0.0
CVTP,2018-04-08,0.0
CVWF,2018-04-08,1.0
MTSR,2018-04-08,0.0
N,2018-04-08,8.0
P,2018-04-08,0.0
R,2018-04-08,0.0
RIMM,2018-04-08,0.0
T,2018-04-08,0.0
TOPI,2018-04-08,0.0
TOTM,2018-04-08,0.0
WHWI,2018-04-08,0.0
WINR,2018-04-08,1.0
WIWR,2018-04-08,0.0
CVTP,2018-04-09,0.0
CVWF,2018-04-09,1.0
MTSR,2018-04-09,0.0
N,2018-04-09,1.0
P,2018-04-09,0.0
R,2018-04-09,0.0
RIMM,2018-04-09,1.0
T,2018-04-09,0.0
TOPI,2018-04-09,0.0
TOTM,2018-04-09,0.0
WHWI,2018-04-09,0.0
WINR,2018-04-09,1.0
WIWR,2018-04-09,0.0
CVTP,2018-04-10,0.0
CVWF,2018-04-10,1.0
MTSR,2018-04-10,0.0
N,2018-04-10,1.0
P,2018-04-10,0.0
R,2018-04-10,0.0
RIMM,2018-04-10,19.0
T,2018-04-10,0.0
TOPI,2018-04-10,0.0
TOTM,2018-04-10,0.0
WHWI,2018-04-10,0.0
WINR,2018-04-10,2.0
WIWR,2018-04-10,0.0
CVTP,2018-04-11,0.0
CVWF,2018-04-11,0.0
MTSR,2018-04-11,0.0
N,2018-04-11,2.0
P,2018-04-11,0.0
R,2018-04-11,0.0
RIMM,2018-04-11,22.0
T,2018-04-11,0.0
TOPI,2018-04-11,0.0
TOTM,2018-04-11,118.0
WHWI,2018-04-11,0.0
WINR,2018-04-11,1.0
WIWR,2018-04-11,0.0
CVTP,2018-04-12,0.0
CVWF,2018-04-12,2.0
MTSR,2018-04-12,0.0
N,2018-04-12,0.0
P,2018-04-12,0.0
R,2018-04-12,0.0
RIMM,2018-04-12,1.0
T,2018-04-12,0.0
TOPI,2018-04-12,1.0
WHWI,2018-04-12,0.0
WINR,2018-04-12,1.0
WIWR,2018-04-12,1.0
CVTP,2018-04-13,0.0
CVWF,2018-04-13,0.0
MTSR,2018-04-13,0.0
N,2018-04-13,2.0
P,2018-04-13,0.0
R,2018-04-13,0.0
RIMM,2018-04-13,1.0
T,2018-04-13,0.0
TOPI,2018-04-13,0.0
WHWI,2018-04-13,0.0
WINR,2018-04-13,2.0
WIWR,2018-04-13,0.0
CVTP,2018-04-14,0.0
CVWF,2018-04-14,0.0
MTSR,2018-04-14,0.0
N,2018-04-14,4.0
P,2018-04-14,0.0
R,2018-04-14,0.0
RIMM,2018-04-14,0.0
T,2018-04-14,0.0
TOPI,2018-04-14,0.0
WHWI,2018-04-14,0.0
WINR,2018-04-14,2.0
WIWR,2018-04-14,0.0
CVTP,2018-04-15,0.0
CVWF,2018-04-15,0.0
MTSR,2018-04-15,0.0
N,2018-04-15,11.0
P,2018-04-15,0.0
R,2018-04-15,0.0
RIMM,2018-04-15,0.0
T,2018-04-15,0.0
TOPI,2018-04-15,0.0
WHWI,2018-04-15,0.0
WINR,2018-04-15,0.0
WIWR,2018-04-15,0.0
CVTP,2018-04-16,0.0
CVWF,2018-04-16,0.0
MTSR,2018-04-16,0.0
N,2018-04-16,1.0
P,2018-04-16,0.0
R,2018-04-16,0.0
RIMM,2018-04-16,1.0
T,2018-04-16,0.0
TOPI,2018-04-16,0.0
WHWI,2018-04-16,0.0
WINR,2018-04-16,1.0
WIWR,2018-04-16,0.0
CVTP,2018-04-17,0.0
CVWF,2018-04-17,0.0
MTSR,2018-04-17,0.0
N,2018-04-17,2.0
P,2018-04-17,0.0
R,2018-04-17,0.0
RIMM,2018-04-17,0.0
T,2018-04-17,0.0
TOPI,2018-04-17,0.0
WHWI,2018-04-17,0.0
WINR,2018-04-17,2.0
WIWR,2018-04-17,0.0
CVTP,2018-04-18,0.0
CVWF,2018-04-18,1.0
MTSR,2018-04-18,0.0
N,2018-04-18,10.0
P,2018-04-18,0.0
R,2018-04-18,0.0
RIMM,2018-04-18,47.0
T,2018-04-18,0.0
TOPI,2018-04-18,0.0
WHWI,2018-04-18,0.0
WINR,2018-04-18,1.0
WIWR,2018-04-18,0.0
CVTP,2018-04-19,0.0
CVWF,2018-04-19,0.0
MTSR,2018-04-19,0.0
N,2018-04-19,2.0
P,2018-04-19,0.0
R,2018-04-19,0.0
RIMM,2018-04-19,30.0
T,2018-04-19,0.0
TOPI,2018-04-19,0.0
WHWI,2018-04-19,0.0
WINR,2018-04-19,2.0
WIWR,2018-04-19,1.0
CVTP,2018-04-20,0.0
CVWF,2018-04-20,1.0
MTSR,2018-04-20,1.0
N,2018-04-20,13.0
P,2018-04-20,0.0
R,2018-04-20,0.0
RIMM,2018-04-20,12.0
T,2018-04-20,0.0
TOPI,2018-04-20,0.0
WHWI,2018-04-20,0.0
WINR,2018-04-20,0.0
WIWR,2018-04-20,1.0
CVTP,2018-04-21,0.0
CVWF,2018-04-21,1.0
MTSR,2018-04-21,0.0
N,2018-04-21,2.0
P,2018-04-21,0.0
R,2018-04-21,0.0
RIMM,2018-04-21,9.0
T,2018-04-21,0.0
TOPI,2018-04-21,0.0
WHWI,2018-04-21,0.0
WINR,2018-04-21,1.0
WIWR,2018-04-21,0.0
CVTP,2018-04-22,1.0
CVWF,2018-04-22,2.0
MTSR,2018-04-22,0.0
N,2018-04-22,1.0
P,2018-04-22,0.0
R,2018-04-22,0.0
RIMM,2018-04-22,2.0
T,2018-04-22,0.0
TOPI,2018-04-22,0.0
WHWI,2018-04-22,0.0
WINR,2018-04-22,0.0
WIWR,2018-04-22,1.0
CVTP,2018-04-23,0.0
CVWF,2018-04-23,0.0
MTSR,2018-04-23,0.0
N,2018-04-23,3.0
P,2018-04-23,0.0
R,2018-04-23,0.0
RIMM,2018-04-23,9.0
T,2018-04-23,0.0
TOPI,2018-04-23,0.0
WHWI,2018-04-23,0.0
WINR,2018-04-23,1.0
WIWR,2018-04-23,0.0
CVTP,2018-04-24,0.0
CVWF,2018-04-24,0.0
MTSR,2018-04-24,1.0
N,2018-04-24,9.0
P,2018-04-24,0.0
R,2018-04-24,0.0
RIMM,2018-04-24,0.0
T,2018-04-24,0.0
TOPI,2018-04-24,0.0
WHWI,2018-04-24,0.0
WINR,2018-04-24,0.0
WIWR,2018-04-24,0.0
CVTP,2018-04-25,0.0
CVWF,2018-04-25,0.0
MTSR,2018-04-25,0.0
N,2018-04-25,1.0
P,2018-04-25,0.0
R,2018-04-25,0.0
RIMM,2018-04-25,17.0
T,2018-04-25,0.0
TOPI,2018-04-25,0.0
WHWI,2018-04-25,0.0
WINR,2018-04-25,3.0
WIWR,2018-04-25,0.0
CVTP,2018-04-26,0.0
CVWF,2018-04-26,1.0
MTSR,2018-04-26,1.0
N,2018-04-26,0.0
P,2018-04-26,0.0
R,2018-04-26,0.0
RIMM,2018-04-26,0.0
T,2018-04-26,0.0
TOPI,2018-04-26,0.0
WHWI,2018-04-26,0.0
WINR,2018-04-26,0.0
WIWR,2018-04-26,0.0
CVTP,2018-04-27,1.0
CVWF,2018-04-27,0.0
MTSR,2018-04-27,1.0
N,2018-04-27,4.0
P,2018-04-27,0.0
R,2018-04-27,0.0
RIMM,2018-04-27,12.0
T,2018-04-27,0.0
TOPI,2018-04-27,0.0
WHWI,2018-04-27,0.0
WINR,2018-04-27,0.0
WIWR,2018-04-27,0.0
CVTP,2018-04-28,0.0
CVWF,2018-04-28,0.0
MTSR,2018-04-28,0.0
N,2018-04-28,0.0
P,2018-04-28,0.0
R,2018-04-28,0.0
RIMM,2018-04-28,32.0
T,2018-04-28,0.0
TOPI,2018-04-28,0.0
WHWI,2018-04-28,1.0
WINR,2018-04-28,1.0
WIWR,2018-04-28,1.0
CVTP,2018-04-29,0.0
CVWF,2018-04-29,2.0
MTSR,2018-04-29,0.0
N,2018-04-29,3.0
P,2018-04-29,0.0
R,2018-04-29,0.0
RIMM,2018-04-29,1.0
T,2018-04-29,0.0
TOPI,2018-04-29,0.0
WHWI,2018-04-29,1.0
WINR,2018-04-29,1.0
WIWR,2018-04-29,0.0
CVTP,2018-04-30,0.0
CVWF,2018-04-30,0.0
MTSR,2018-04-30,0.0
N,2018-04-30,3.0
P,2018-04-30,0.0
R,2018-04-30,1.0
RIMM,2018-04-30,3.0
T,2018-04-30,0.0
TOPI,2018-04-30,0.0
WHWI,2018-04-30,0.0
WINR,2018-04-30,1.0
WIWR,2018-04-30,1.0
CVTP,2018-05-01,0.0
CVWF,2018-05-01,1.0
MTSR,2018-05-01,0.0
N,2018-05-01,2.0
P,2018-05-01,0.0
R,2018-05-01,0.0
RIMM,2018-05-01,30.0
T,2018-05-01,0.0
TOPI,2018-05-01,0.0
WHWI,2018-05-01,0.0
WINR,2018-05-01,2.0
WIWR,2018-05-01,1.0
CVTP,2018-05-02,1.0
CVWF,2018-05-02,1.0
MTSR,2018-05-02,0.0
N,2018-05-02,3.0
P,2018-05-02,0.0
R,2018-05-02,0.0
RIMM,2018-05-02,0.0
T,2018-05-02,0.0
TOPI,2018-05-02,0.0
WHWI,2018-05-02,0.0
WINR,2018-05-02,0.0
WIWR,2018-05-02,1.0
CVTP,2018-05-03,0.0
CVWF,2018-05-03,1.0
MTSR,2018-05-03,0.0
N,2018-05-03,1.0
P,2018-05-03,0.0
R,2018-05-03,0.0
RIMM,2018-05-03,2.0
T,2018-05-03,0.0
TOPI,2018-05-03,0.0
TOTM,2018-05-03,0.0
WHWI,2018-05-03,0.0
WINR,2018-05-03,1.0
WIWR,2018-05-03,1.0
CVTP,2018-05-04,1.0
CVWF,2018-05-04,0.0
MTSR,2018-05-04,0.0
N,2018-05-04,3.0
P,2018-05-04,0.0
R,2018-05-04,0.0
RIMM,2018-05-04,1.0
T,2018-05-04,0.0
TOPI,2018-05-04,0.0
TOTM,2018-05-04,1.0
WHWI,2018-05-04,1.0
WINR,2018-05-04,0.0
WIWR,2018-05-04,1.0
CVTP,2018-05-05,0.0
CVWF,2018-05-05,0.0
MTSR,2018-05-05,1.0
N,2018-05-05,9.0
P,2018-05-05,0.0
R,2018-05-05,0.0
RIMM,2018-05-05,2.0
T,2018-05-05,0.0
TOPI,2018-05-05,0.0
TOTM,2018-05-05,0.0
WHWI,2018-05-05,0.0
WINR,2018-05-05,2.0
WIWR,2018-05-05,0.0
CVTP,2018-05-06,0.0
CVWF,2018-05-06,0.0
MTSR,2018-05-06,0.0
N,2018-05-06,11.0
P,2018-05-06,0.0
R,2018-05-06,0.0
RIMM,2018-05-06,3.0
T,2018-05-06,0.0
TOPI,2018-05-06,0.0
TOTM,2018-05-06,0.0
WHWI,2018-05-06,0.0
WINR,2018-05-06,0.0
WIWR,2018-05-06,1.0
CVTP,2018-05-07,0.0
CVWF,2018-05-07,2.0
MTSR,2018-05-07,0.0
N,2018-05-07,22.0
P,2018-05-07,0.0
R,2018-05-07,0.0
RIMM,2018-05-07,0.0
T,2018-05-07,0.0
TOPI,2018-05-07,0.0
TOTM,2018-05-07,0.0
WHWI,2018-05-07,1.0
WINR,2018-05-07,0.0
WIWR,2018-05-07,0.0
CVTP,2018-05-08,0.0
CVWF,2018-05-08,0.0
MTSR,2018-05-08,1.0
N,2018-05-08,1.0
P,2018-05-08,0.0
R,2018-05-08,0.0
RIMM,2018-05-08,0.0
T,2018-05-08,0.0
TOPI,2018-05-08,0.0
TOTM,2018-05-08,0.0
WHWI,2018-05-08,1.0
WINR,2018-05-08,2.0
WIWR,2018-05-08,0.0
CVTP,2018-05-09,1.0
CVWF,2018-05-09,1.0
MTSR,2018-05-09,0.0
N,2018-05-09,2.0
P,2018-05-09,0.0
R,2018-05-09,0.0
RIMM,2018-05-09,0.0
T,2018-05-09,0.0
TOPI,2018-05-09,0.0
TOTM,2018-05-09,1.0
WHWI,2018-05-09,0.0
WINR,2018-05-09,0.0
WIWR,2018-05-09,1.0
CVTP,2018-05-10,0.0
CVWF,2018-05-10,0.0
MTSR,2018-05-10,0.0
N,2018-05-10,22.0
P,2018-05-10,0.0
R,2018-05-10,0.0
RIMM,2018-05-10,2.0
T,2018-05-10,0.0
TOPI,2018-05-10,0.0
TOTM,2018-05-10,1.0
WHWI,2018-05-10,0.0
WINR,2018-05-10,0.0
WIWR,2018-05-10,0.0
CVTP,2018-05-11,1.0
CVWF,2018-05-11,1.0
MTSR,2018-05-11,0.0
N,2018-05-11,9.0
P,2018-05-11,0.0
R,2018-05-11,0.0
RIMM,2018-05-11,1.0
T,2018-05-11,0.0
TOPI,2018-05-11,0.0
TOTM,2018-05-11,0.0
WHWI,2018-05-11,0.0
WINR,2018-05-11,2.0
WIWR,2018-05-11,0.0
CVTP,2018-05-12,0.0
CVWF,2018-05-12,0.0
MTSR,2018-05-12,0.0
N,2018-05-12,9.0
P,2018-05-12,0.0
R,2018-05-12,0.0
RIMM,2018-05-12,0.0
T,2018-05-12,0.0
TOPI,2018-05-12,0.0
TOTM,2018-05-12,0.0
WHWI,2018-05-12,0.0
WINR,2018-05-12,0.0
WIWR,2018-05-12,1.0
CVTP,2018-05-13,1.0
CVWF,2018-05-13,0.0
MTSR,2018-05-13,0.0
N,2018-05-13,2.0
P,2018-05-13,0.0
R,2018-05-13,0.0
RIMM,2018-05-13,0.0
T,2018-05-13,0.0
TOPI,2018-05-13,0.0
TOTM,2018-05-13,1.0
WHWI,2018-05-13,0.0
WINR,2018-05-13,1.0
WIWR,2018-05-13,0.0
CVTP,2018-05-14,0.0
CVWF,2018-05-14,0.0
MTSR,2018-05-14,0.0
N,2018-05-14,2.0
P,2018-05-14,0.0
R,2018-05-14,0.0
RIMM,2018-05-14,0.0
T,2018-05-14,0.0
TOPI,2018-05-14,0.0
TOTM,2018-05-14,0.0
WHWI,2018-05-14,0.0
WINR,2018-05-14,0.0
WIWR,2018-05-14,1.0
CVTP,2018-05-15,2.0
CVWF,2018-05-15,3.0
MTSR,2018-05-15,0.0
N,2018-05-15,16.0
P,2018-05-15,0.0
R,2018-05-15,0.0
RIMM,2018-05-15,1.0
T,2018-05-15,0.0
TOPI,2018-05-15,0.0
TOTM,2018-05-15,0.0
WHWI,2018-05-15,0.0
WINR,2018-05-15,0.0
WIWR,2018-05-15,0.0
CVTP,2018-05-16,0.0
CVWF,2018-05-16,0.0
MTSR,2018-05-16,0.0
N,2018-05-16,10.0
P,2018-05-16,0.0
R,2018-05-16,0.0
RIMM,2018-05-16,26.0
T,2018-05-16,0.0
TOPI,2018-05-16,3.0
TOTM,2018-05-16,1.0
WHWI,2018-05-16,0.0
WINR,2018-05-16,0.0
WIWR,2018-05-16,0.0
CVTP,2018-05-17,0.0
CVWF,2018-05-17,1.0
MTSR,2018-05-17,1.0
N,2018-05-17,10.0
P,2018-05-17,0.0
R,2018-05-17,0.0
RIMM,2018-05-17,12.0
T,2018-05-17,0.0
TOPI,2018-05-17,0.0
TOTM,2018-05-17,0.0
WHWI,2018-05-17,0.0
WINR,2018-05-17,0.0
WIWR,2018-05-17,0.0
CVTP,2018-05-18,1.0
CVWF,2018-05-18,0.0
MTSR,2018-05-18,0.0
N,2018-05-18,6.0
P,2018-05-18,0.0
R,2018-05-18,0.0
RIMM,2018-05-18,0.0
T,2018-05-18,0.0
TOPI,2018-05-18,0.0
TOTM,2018-05-18,0.0
WHWI,2018-05-18,0.0
WINR,2018-05-18,0.0
WIWR,2018-05-18,0.0
CVTP,2018-05-19,0.0
CVWF,2018-05-19,0.0
MTSR,2018-05-19,0.0
N,2018-05-19,4.0
P,2018-05-19,0.0
R,2018-05-19,0.0
RIMM,2018-05-19,24.0
T,2018-05-19,0.0
TOPI,2018-05-19,0.0
TOTM,2018-05-19,0.0
WHWI,2018-05-19,0.0
WINR,2018-05-19,0.0
WIWR,2018-05-19,1.0
CVTP,2018-05-20,0.0
CVWF,2018-05-20,0.0
MTSR,2018-05-20,1.0
N,2018-05-20,3.0
P,2018-05-20,0.0
R,2018-05-20,0.0
RIMM,2018-05-20,1.0
T,2018-05-20,0.0
TOPI,2018-05-20,0.0
TOTM,2018-05-20,0.0
WHWI,2018-05-20,0.0
WINR,2018-05-20,0.0
WIWR,2018-05-20,0.0
CVTP,2018-05-21,0.0
CVWF,2018-05-21,0.0
MTSR,2018-05-21,1.0
N,2018-05-21,13.0
P,2018-05-21,0.0
R,2018-05-21,0.0
RIMM,2018-05-21,3.0
T,2018-05-21,0.0
TOPI,2018-05-21,0.0
TOTM,2018-05-21,1.0
WHWI,2018-05-21,0.0
WINR,2018-05-21,0.0
WIWR,2018-05-21,1.0
CVTP,2018-05-22,0.0
CVWF,2018-05-22,2.0
MTSR,2018-05-22,0.0
N,2018-05-22,7.0
P,2018-05-22,0.0
R,2018-05-22,0.0
RIMM,2018-05-22,0.0
T,2018-05-22,0.0
TOPI,2018-05-22,0.0
TOTM,2018-05-22,0.0
WHWI,2018-05-22,0.0
WINR,2018-05-22,0.0
WIWR,2018-05-22,0.0
CVTP,2018-05-23,0.0
CVWF,2018-05-23,0.0
MTSR,2018-05-23,0.0
N,2018-05-23,4.0
P,2018-05-23,0.0
R,2018-05-23,0.0
RIMM,2018-05-23,5.0
T,2018-05-23,0.0
TOPI,2018-05-23,0.0
TOTM,2018-05-23,1.0
WHWI,2018-05-23,0.0
WINR,2018-05-23,0.0
WIWR,2018-05-23,0.0
CVTP,2018-05-24,0.0
CVWF,2018-05-24,0.0
MTSR,2018-05-24,1.0
N,2018-05-24,0.0
P,2018-05-24,0.0
R,2018-05-24,0.0
RIMM,2018-05-24,0.0
T,2018-05-24,0.0
TOPI,2018-05-24,0.0
TOTM,2018-05-24,1.0
WHWI,2018-05-24,0.0
WINR,2018-05-24,2.0
WIWR,2018-05-24,0.0
CVTP,2018-05-25,1.0
CVWF,2018-05-25,0.0
MTSR,2018-05-25,0.0
N,2018-05-25,8.0
P,2018-05-25,0.0
R,2018-05-25,0.0
RIMM,2018-05-25,1.0
T,2018-05-25,0.0
TOPI,2018-05-25,0.0
TOTM,2018-05-25,1.0
WHWI,2018-05-25,0.0
WINR,2018-05-25,2.0
WIWR,2018-05-25,1.0
