cam,date,missing
P,2018-01-15,0.0
R,2018-01-15,0.0
RIMM,2018-01-15,0.0
T,2018-01-15,0.0
TOPI,2018-01-15,0.0
TOTM,2018-01-15,0.0
WHWI,2018-01-15,0.0
WINR,2018-01-15,0.0
WIWR,2018-01-15,1.0
CVTP,2018-01-16,0.0
CVWF,2018-01-16,2.0
MTSR,2018-01-16,1.0
N,2018-01-16,7.0
P,2018-01-16,0.0
R,2018-01-16,0.0
RIMM,2018-01-16,0.0
T,2018-01-16,0.0
TOPI,2018-01-16,0.0
TOTM,2018-01-16,1.0
WHWI,2018-01-16,0.0
WINR,2018-01-16,1.0
WIWR,2018-01-16,0.0
CVTP,2018-01-17,0.0
CVWF,2018-01-17,5.0
MTSR,2018-01-17,0.0
N,2018-01-17,8.0
P,2018-01-17,0.0
R,2018-01-17,0.0
RIMM,2018-01-17,0.0
T,2018-01-17,0.0
TOPI,2018-01-17,0.0
TOTM,2018-01-17,0.0
WHWI,2018-01-17,1.0
WINR,2018-01-17,2.0
WIWR,2018-01-17,0.0
CVTP,2018-01-18,0.0
CVWF,2018-01-18,1.0
MTSR,2018-01-18,1.0
N,2018-01-18,9.0
P,2018-01-18,0.0
R,2018-01-18,0.0
RIMM,2018-01-18,32.0
T,2018-01-18,0.0
TOPI,2018-01-18,0.0
TOTM,2018-01-18,0.0
WHWI,2018-01-18,1.0
WINR,2018-01-18,0.0
WIWR,2018-01-18,0.0
CVTP,2018-01-19,1.0
CVWF,2018-01-19,6.0
MTSR,2018-01-19,0.0
N,2018-01-19,1.0
P,2018-01-19,0.0
R,2018-01-19,0.0
RIMM,2018-01-19,0.0
T,2018-01-19,0.0
TOPI,2018-01-19,0.0
TOTM,2018-01-19,0.0
WHWI,2018-01-19,1.0
WINR,2018-01-19,1.0
WIWR,2018-01-19,0.0
CVTP,2018-01-20,1.0
CVWF,2018-01-20,11.0
MTSR,2018-01-20,0.0
N,2018-01-20,2.0
P,2018-01-20,0.0
R,2018-01-20,0.0
RIMM,2018-01-20,0.0
T,2018-01-20,1.0
TOPI,2018-01-20,0.0
TOTM,2018-01-20,1.0
WHWI,2018-01-20,0.0
WINR,2018-01-20,0.0
WIWR,2018-01-20,0.0
CVTP,2018-01-21,0.0
CVWF,2018-01-21,19.0
MTSR,2018-01-21,0.0
N,2018-01-21,4.0
P,2018-01-21,0.0
R,2018-01-21,0.0
RIMM,2018-01-21,0.0
T,2018-01-21,0.0
TOPI,2018-01-21,0.0
TOTM,2018-01-21,1.0
WHWI,2018-01-21,1.0
WINR,2018-01-21,1.0
WIWR,2018-01-21,0.0
CVTP,2018-01-22,0.0
CVWF,2018-01-22,8.0
MTSR,2018-01-22,0.0
N,2018-01-22,11.0
P,2018-01-22,0.0
R,2018-01-22,0.0
RIMM,2018-01-22,2.0
T,2018-01-22,0.0
TOPI,2018-01-22,0.0
TOTM,2018-01-22,1.0
WHWI,2018-01-22,0.0
WINR,2018-01-22,2.0
WIWR,2018-01-22,0.0
CVTP,2018-01-23,0.0
CVWF,2018-01-23,23.0
MTSR,2018-01-23,0.0
N,2018-01-23,15.0
P,2018-01-23,0.0
R,2018-01-23,0.0
RIMM,2018-01-23,0.0
T,2018-01-23,0.0
TOPI,2018-01-23,0.0
TOTM,2018-01-23,0.0
WHWI,2018-01-23,0.0
WINR,2018-01-23,2.0
WIWR,2018-01-23,1.0
CVTP,2018-01-24,0.0
CVWF,2018-01-24,23.0
MTSR,2018-01-24,1.0
N,2018-01-24,1.0
P,2018-01-24,1.0
R,2018-01-24,0.0
RIMM,2018-01-24,40.0
T,2018-01-24,0.0
TOPI,2018-01-24,0.0
TOTM,2018-01-24,1.0
WHWI,2018-01-24,0.0
WINR,2018-01-24,1.0
WIWR,2018-01-24,0.0
CVTP,2018-01-25,0.0
CVWF,2018-01-25,20.0
MTSR,2018-01-25,1.0
N,2018-01-25,3.0
P,2018-01-25,0.0
R,2018-01-25,0.0
RIMM,2018-01-25,69.0
T,2018-01-25,0.0
TOPI,2018-01-25,0.0
TOTM,2018-01-25,1.0
WHWI,2018-01-25,0.0
WINR,2018-01-25,1.0
WIWR,2018-01-25,0.0
CVTP,2018-01-26,1.0
CVWF,2018-01-26,4.0
MTSR,2018-01-26,0.0
N,2018-01-26,14.0
P,2018-01-26,0.0
R,2018-01-26,0.0
RIMM,2018-01-26,14.0
T,2018-01-26,0.0
TOPI,2018-01-26,0.0
TOTM,2018-01-26,1.0
WHWI,2018-01-26,0.0
WINR,2018-01-26,0.0
WIWR,2018-01-26,0.0
CVTP,2018-01-27,1.0
CVWF,2018-01-27,0.0
MTSR,2018-01-27,0.0
N,2018-01-27,5.0
P,2018-01-27,0.0
R,2018-01-27,0.0
RIMM,2018-01-27,81.0
T,2018-01-27,0.0
TOPI,2018-01-27,0.0
TOTM,2018-01-27,0.0
WHWI,2018-01-27,0.0
WINR,2018-01-27,0.0
WIWR,2018-01-27,0.0
CVTP,2018-01-28,0.0
CVWF,2018-01-28,2.0
MTSR,2018-01-28,0.0
N,2018-01-28,8.0
P,2018-01-28,0.0
R,2018-01-28,0.0
RIMM,2018-01-28,99.0
T,2018-01-28,0.0
TOPI,2018-01-28,0.0
TOTM,2018-01-28,1.0
WHWI,2018-01-28,0.0
WINR,2018-01-28,2.0
WIWR,2018-01-28,2.0
CVTP,2018-01-29,1.0
CVWF,2018-01-29,2.0
MTSR,2018-01-29,0.0
N,2018-01-29,4.0
P,2018-01-29,0.0
R,2018-01-29,0.0
RIMM,2018-01-29,60.0
T,2018-01-29,0.0
TOPI,2018-01-29,0.0
TOTM,2018-01-29,0.0
WHWI,2018-01-29,0.0
WINR,2018-01-29,2.0
WIWR,2018-01-29,0.0
CVTP,2018-01-30,1.0
CVWF,2018-01-30,1.0
MTSR,2018-01-30,1.0
N,2018-01-30,1.0
P,2018-01-30,0.0
R,2018-01-30,0.0
RIMM,2018-01-30,1.0
T,2018-01-30,1.0
TOPI,2018-01-30,0.0
TOTM,2018-01-30,0.0
WHWI,2018-01-30,0.0
WINR,2018-01-30,1.0
WIWR,2018-01-30,0.0
CVTP,2018-01-31,0.0
CVWF,2018-01-31,1.0
MTSR,2018-01-31,0.0
N,2018-01-31,1.0
P,2018-01-31,0.0
R,2018-01-31,0.0
RIMM,2018-01-31,1.0
T,2018-01-31,0.0
TOPI,2018-01-31,0.0
TOTM,2018-01-31,0.0
WHWI,2018-01-31,0.0
WINR,2018-01-31,1.0
WIWR,2018-01-31,0.0
CVTP,2018-02-01,0.0
CVWF,2018-02-01,0.0
MTSR,2018-02-01,0.0
N,2018-02-01,2.0
P,2018-02-01,1.0
R,2018-02-01,0.0
RIMM,2018-02-01,1.0
T,2018-02-01,0.0
TOPI,2018-02-01,0.0
TOTM,2018-02-01,0.0
